Fecha,Institución,Pacientes,Positivos,En_estudio
10/06/2020,ISSSTE,14,1,13
10/06/2020,IMSS,315,126,189
10/06/2020,Privados,52,34,18
11/06/2020,SSJ,69,32,37
11/06/2020,HCG,73,31,42
11/06/2020,ISSSTE,16,2,14
11/06/2020,IMSS,349,118,231
11/06/2020,Privados,31,16,15
12/06/2020,SSJ,69,23,46
12/06/2020,HCG,79,29,50
12/06/2020,ISSSTE,19,8,11
12/06/2020,IMSS,344,97,247
12/06/2020,Privados,52,27,25
13/06/2020,SSJ,72,20,52
13/06/2020,HCG,80,40,40
13/06/2020,ISSSTE,24,8,16
13/06/2020,IMSS,363,151,212
13/06/2020,Privados,53,30,23
14/06/2020,SSJ,69,21,48
14/06/2020,HCG,83,44,39
14/06/2020,ISSSTE,26,8,18
14/06/2020,IMSS,375,138,237
14/06/2020,Privados,42,30,12
15/06/2020,SSJ,71,32,39
15/06/2020,HCG,86,44,42
15/06/2020,ISSSTE,26,8,18
15/06/2020,IMSS,438,158,280
15/06/2020,Privados,82,49,33
16/06/2020,SSJ,87,37,50
16/06/2020,HCG,86,51,35
16/06/2020,ISSSTE,26,10,16
16/06/2020,IMSS,459,166,293
16/06/2020,Privados,67,38,29
17/06/2020,SSJ,90,39,51
17/06/2020,HCG,90,49,41
17/06/2020,ISSSTE,30,10,20
17/06/2020,IMSS,475,180,295
17/06/2020,Privados,66,35,31
18/06/2020,SSJ,87,34,53
18/06/2020,HCG,101,44,57
18/06/2020,ISSSTE,23,5,18
18/06/2020,IMSS,484,162,322
18/06/2020,Privados,63,33,30
19/06/2020,SSJ,85,42,47
19/06/2020,HCG,93,46,47
19/06/2020,ISSSTE,28,5,23
19/06/2020,IMSS,475,135,340
19/06/2020,Privados,80,41,39
20/06/2020,SSJ,84,45,39
20/06/2020,HCG,108,56,52
20/06/2020,ISSSTE,30,4,26
20/06/2020,IMSS,474,124,350
20/06/2020,Privados,61,27,34
21/06/2020,SSJ,98,48,50
21/06/2020,HCG,107,58,49
21/06/2020,ISSSTE,31,3,28
21/06/2020,IMSS,478,121,357
21/06/2020,Privados,44,25,19
22/06/2020,SSJ,84,39,45
22/06/2020,HCG,107,62,45
22/06/2020,ISSSTE,33,10,23
22/06/2020,IMSS,460,142,318
22/06/2020,Privados,64,36,25
23/06/2020,SSJ,86,40,46
23/06/2020,HCG,94,54,40
23/06/2020,ISSSTE,29,7,22
23/06/2020,IMSS,435,130,305
23/06/2020,Privados,63,34,29
24/06/2020,SSJ,85,41,44
24/06/2020,HCG,93,50,43
24/06/2020,ISSSTE,31,11,20
24/06/2020,IMSS,435,145,290
24/06/2020,Privados,60,44,16
25/06/2020,SSJ,92,49,43
25/06/2020,HCG,89,42,47
25/06/2020,ISSSTE,33,19,14
25/06/2020,IMSS,463,124,339
25/06/2020,Privados,55,37,18
26/06/2020,SSJ,88,48,40
26/06/2020,HCG,88,48,40
26/06/2020,ISSSTE,30,18,12
26/06/2020,IMSS,452,132,320
26/06/2020,Privados,52,36,16
27/06/2020,SSJ,102,46,56
27/06/2020,HCG,98,48,50
27/06/2020,ISSSTE,27,16,11
27/06/2020,IMSS,460,140,320
27/06/2020,Privados,0,0,0
28/06/2020,SSJ,110,50,60
28/06/2020,HCG,95,45,50
28/06/2020,ISSSTE,30,15,15
28/06/2020,IMSS,471,251,220
28/06/2020,Privados,57,27,30
29/06/2020,SSJ,117,37,80
29/06/2020,HCG,93,41,52
29/06/2020,ISSSTE,29,15,14
29/06/2020,IMSS,473,174,299
29/06/2020,Privados,63,42,21
30/06/2020,SSJ,119,42,77
30/06/2020,HCG,93,53,40
30/06/2020,ISSSTE,29,18,11
30/06/2020,IMSS,463,172,291
30/06/2020,Privados,68,43,27
01/07/2020,SSJ,115,50,65
01/07/2020,HCG,91,56,35
01/07/2020,ISSSTE,31,17,14
01/07/2020,IMSS,485,171,314
01/07/2020,Privados,66,40,26
02/07/2020,SSJ,113,58,55
02/07/2020,HCG,89,58,31
02/07/2020,ISSSTE,29,19,10
02/07/2020,IMSS,455,161,294
02/07/2020,Privados,65,40,25
03/07/2020,SSJ,115,61,54
03/07/2020,HCG,95,55,40
03/07/2020,ISSSTE,30,19,11
03/07/2020,IMSS,496,192,304
03/07/2020,Privados,64,40,25
04/07/2020,SSJ,114,60,54
04/07/2020,HCG,95,55,40
04/07/2020,ISSSTE,29,15,14
04/07/2020,IMSS,495,229,266
04/07/2020,Privados,44,30,14
05/07/2020,SSJ,117,59,58
05/07/2020,HCG,96,55,41
05/07/2020,ISSSTE,31,17,14
05/07/2020,IMSS,489,195,294
05/07/2020,Privados,44,30,14
06/07/2020,SSJ,109,57,52
06/07/2020,HCG,87,48,39
06/07/2020,ISSSTE,27,17,10
06/07/2020,IMSS,501,217,284
06/07/2020,Privados,61,28,33
